"('integer_min', 'print_exec')","('float_flush', 'float_add')","('vector_float_pop', 'float_div')","('vector_float_subvec', 'float_frominteger')","('integer_fromfloat', 'float_frominteger')"
4,7,5,6,7
"(479, 4)","(7, 293)","(5, 43)","(6, 285)","(7, 285)"
34.875,30.044776119402986,34.714285714285715,31.763157894736842,18.875
"(9, 51)","(3, 70)","(1, 93)","(1, 138)","(1, 55)"
