Tag,float_yankdup,exec_eq,integer_swap,vector_float_conj,integer_gte,boolean_shove,boolean_and,print_float,string_pop,string_rot,vector_float_occurrencesof,vector_integer_flush,string_parse_to_chars,integer_lt,string_stackdepth,vector_float_rest,vector_integer_pushall,exec_do*vector_integer,vector_integer_reverse,vector_integer_length,vector_integer_occurrencesof,integer_dup_times,vector_float_first,integer_fromfloat,char_iswhitespace,string_removechar,exec_do*vector_float,string_first,vector_integer_subvec,string_yank,string_concat,string_setchar,string_length,integer_eq,float_dec,string_reverse,exec_s_when_autoconstructing,exec_yankdup,vector_float_remove,vector_integer_yank,vector_integer_dup_items,vector_integer_dup_times,vector_integer_swap,char_isletter,integer_add,string_empty,char_isdigit,print_integer,vector_integer_shove,string_conjchar,vector_integer_rest,boolean_or,boolean_empty,string_dup_items,vector_float_subvec,string_fromchar,vector_integer_emptyvector,exec_do*while,integer_rot,vector_integer_remove,string_rest,char_allfromstring,float_cos,vector_float_replacefirst,exec_stackdepth,exec_do*range,char_shove,float_inc,integer_dup_items,boolean_dup_items,float_max,float_min,float_sub,vector_float_rot,float_rot,vector_float_replace,vector_integer_replacefirst,vector_integer_last,exec_shove,boolean_xor,vector_float_pushall,boolean_yankdup,integer_min,exec_yank,integer_mod,char_stackdepth,vector_integer_indexof,vector_integer_concat,string_replace,integer_div,integer_mult,boolean_frominteger,float_shove,integer_flush,string_yankdup,vector_float_nth,exec_y_when_autoconstructing,integer_yank,string_emptystring,in2,vector_float_yankdup,string_swap,float_pop,float_dup_times,integer_max,char_swap,string_contains,char_empty,exec_dup,exec_k,float_frominteger,float_mult,exec_noop,boolean_dup_times,float_dup_items,exec_s,vector_integer_pop,vector_float_butlast,exec_y,vector_integer_set,boolean_rot,float_mod,vector_float_swap,vector_integer_stackdepth,char_dup_items,vector_float_concat,integer_yankdup,string_replacechar,string_fromboolean,string_replacefirstchar,vector_integer_empty,string_substring,vector_float_pop,boolean_stackdepth,string_shove,string_containschar,char_yankdup,char_yank,float_add,exec_do*times,vector_float_last,integer_shove,vector_integer_nth,exec_if,vector_float_dup,print_exec,char_frominteger,vector_float_indexof,boolean_dup,string_eq,boolean_not,char_eq,integer_dup,boolean_flush,boolean_pop,string_butlast,exec_swap,boolean_swap,print_string,exec_flush,vector_integer_take,print_newline,char_dup_times,float_stackdepth,string_dup,string_frominteger,exec_dup_times,float_div,integer_fromchar,integer_inc,boolean_invert_first_then_and,string_replacefirst,vector_float_yank,integer_fromstring,exec_rot,vector_float_flush,vector_integer_contains,char_rot,vector_float_set,string_take,exec_string_iterate,string_split,integer_pop,vector_float_shove,exec_pop,vector_float_take,vector_float_length,vector_integer_eq,float_sin,float_yank,print_char,exec_when,boolean_invert_second_then_and,integer_sub,float_tan,exec_dup_items,vector_integer_rot,vector_float_dup_items,boolean_yank,float_dup,vector_float_dup_times,integer_stackdepth,vector_integer_yankdup,integer_dec,integer_gt,vector_integer_butlast,string_indexofchar,in1,char_dup,in3,char_flush,float_swap,char_pop,integer_empty,float_flush,vector_integer_first,boolean_eq,string_flush,print_boolean,exec_k_when_autoconstructing,vector_integer_replace,exec_empty,string_last,string_dup_times,exec_do*count,vector_float_reverse,string_nth,string_occurrencesofchar,vector_integer_conj,exec_while,integer_fromboolean,integer_lte,vector_integer_dup,vector_float_stackdepth
IO,0.0,0.10776815225397852,0.057857016962035865,0.0,0.04968506153710014,0.04277963927705435,0.0484692016728876,0.14285714285714285,0.03278566800666521,0.02419440995238001,0.0,0.00352112676056338,0.06287528526995556,0.0481267978250658,0.16588935128054513,0.0,0.045774647887323945,0.10714285714285714,0.011569416498993965,0.019114688128772633,0.01358148893360161,0.058006237065343615,0.0,0.0,0.0796187837045443,0.1511203709092718,0.0,0.05769729297048166,0.007545271629778672,0.028339700014332402,0.05789097271382139,0.019046354172408814,0.13164320365883958,0.03875624678401006,0.0,0.07897766632062074,0.02465747785382922,0.06410896111484436,0.0,0.01358148893360161,0.011569416498993965,0.019617706237424547,0.019114688128772633,0.19385683954348604,0.06417399475631788,0.09571412931417525,0.06450134388717861,0.2955137730808745,0.02112676056338028,0.12705392188660583,0.007545271629778672,0.04354170484413268,0.07393740044942088,0.04031579489843351,0.0,0.11288811264294907,0.009557344064386316,0.12430812147050539,0.052706218246854335,0.006036217303822937,0.03034025741407032,0.10314418064674266,0.0,0.0,0.19741906061320919,0.06339938013327402,0.03826347675394391,0.0,0.04509230181258512,0.07044695210856053,0.0,0.0,0.0045351473922902496,0.0,0.0,0.0,0.06237424547283702,0.012072434607645875,0.0706520318580338,0.05247344092289496,0.0,0.04599695980341068,0.26439382581514864,0.05039068371112184,0.036246666907239336,0.142986262686036,0.011066398390342052,0.017102615694164987,0.030996727648180768,0.039498879929954045,0.052220773906518594,0.04368153512475874,0.0,0.03757111190180259,0.04386233405884182,0.0,0.02744083924050903,0.0576988960694153,0.05192669296068742,0.42857142857142855,0.0,0.027902518118696405,0.0,0.0,0.1941677291588901,0.059513134147964254,0.04796491919883146,0.05708069707272836,0.14441303442259312,0.04153077433261344,0.14285714285714285,0.0,0.026410989419940436,0.09977890008162618,0.0,0.11416223728474598,0.007545271629778672,0.0,0.16225936172111818,0.03722334004024145,0.02653292540467022,0.0,0.0,0.04929577464788732,0.11432450151310698,0.0,0.04891864202739844,0.20600423613545069,0.049275285475070464,0.047798919711105926,0.019617706237424547,0.029927935444187852,0.0,0.21237555136472777,0.024520593920445675,0.08087963524417519,0.07053382434421562,0.043024388417879554,0.1383219954648526,0.08799427453893431,0.0,0.04518091397470063,0.01609657947686117,0.15066511133801455,0.0,0.003929364491910754,0.03311185197473087,0.0,0.06373344569372223,0.031248013910892443,0.045282045361459314,0.15154371780497317,0.08017511319002316,0.04292541907077368,0.0671012466803832,0.033190000751233316,0.08278491980467895,0.04570745939655781,0.46026603915181913,0.015284847014420655,0.008551307847082494,0.02783799922722962,0.12445308547932658,0.0,0.09098412846551238,0.03543621400970655,0.12566532012948542,0.0,0.07135608895115265,0.0494096809692215,0.053092673679288285,0.023382513903585228,0.0,0.024184359322331143,0.07433705869216435,0.0,0.01006036217303823,0.04702344181262087,0.0,0.048114735121029324,0.24146951492633936,0.19470311284934594,0.03675138721677015,0.0,0.031228000855589955,0.0,0.0,0.008048289738430584,0.0,0.0,0.1815773694680832,0.11553097440597139,0.04872425528055924,0.06464971262725419,0.0,0.05356307895945752,0.01609657947686117,0.0,0.05048054131457306,0.0,0.0,0.15153475668458397,0.022132796780684104,0.06127051048505737,0.04635183836876418,0.007545271629778672,0.0461659384660431,1.0,0.1785914298380131,0.14285714285714285,0.03093577775595583,0.0,0.06140237569203844,0.0915130832158003,0.0,0.015593561368209255,0.04024087173783109,0.03341404775536356,0.0052229534853251835,0.03205871404593569,0.06338028169014084,0.07858033352631917,0.053566801948488986,0.04786343860257271,0.09964492547380262,0.0,0.02292879974709333,0.16598103764037872,0.02263581488933602,0.09003434215080368,0.10953694516540118,0.04995578592305205,0.04879275653923541,0.0
Arithmetic,0.015126050420168066,0.06441687840333518,0.02844115307171482,0.006722689075630252,0.015100243150546555,0.010176765455984522,0.01894996042564418,0.2,0.027322990918101288,0.015114314032614973,0.008403361344537816,0.0,0.06130284008394993,0.0053434174654823675,0.11991414860467713,0.011764705882352941,0.043243243243243246,0.010810810810810811,0.0,0.010810810810810811,0.0,0.019439513992116846,0.012605042016806723,0.0058823529411764705,0.049116600550951094,0.17909637365797776,0.14621848739495796,0.053563854946319114,0.005405405405405406,0.016002110632310263,0.060674499140773,0.011154691759739687,0.17357792582838755,0.014136387728859806,0.015126050420168066,0.020953730091009135,0.007107317819397568,0.033929329969514754,0.006722689075630252,0.0,0.005405405405405406,0.005405405405405406,0.0,0.03794783790914298,0.1433333090323267,0.05156845175137322,0.04280932766378198,0.1970662210887345,0.0,0.039951607574507934,0.0,0.029774842118523416,0.0487248025441676,0.03409241622239599,0.005042016806722689,0.0705861045285898,0.010810810810810811,0.04044760616741973,0.016652415957148843,0.0,0.02979461741224119,0.11234448941950481,0.006722689075630252,0.006722689075630252,0.11497604157093985,0.029461559665639188,0.015038255210623516,0.03025210084033613,0.026299793237048487,0.045833236279107355,0.009243697478991597,0.007563025210084033,0.01895424836601307,0.005042016806722689,0.010924369747899159,0.008403361344537816,0.0,0.005405405405405406,0.04193134600765985,0.02538120919265937,0.07310924369747898,0.011664761234719902,0.011225770406658838,0.020191641866490685,0.01905488524834953,0.22564133036387016,0.0,0.0,0.02429337789112655,0.013635408960875705,0.01851096959758312,0.022943428874305664,0.007563025210084033,0.016018827194935664,0.02487113971767916,0.008403361344537816,0.013614168815791106,0.025473527984663125,0.042837469427918815,0.2,0.005042016806722689,0.018019951179743636,0.009243697478991597,0.013445378151260503,0.0275175888522534,0.05492787484520841,0.03890598891918037,0.03650205477661286,0.09298022452652135,0.022491832015543004,0.39075630252100846,0.010924369747899159,0.02216010050470262,0.09997751511074879,0.006722689075630252,0.08434050919423927,0.0,0.015966386554621848,0.054845086974601165,0.0,0.0024237094362852874,0.013445378151260503,0.008403361344537816,0.021621621621621623,0.04237531701079322,0.0058823529411764705,0.027188046429356884,0.24579368569167181,0.050280490674475375,0.026283076674423082,0.010810810810810811,0.006307272887169114,0.004201680672268908,0.16091669895205205,0.012614545774338229,0.058881792706434344,0.03217040979067186,0.02482322265982454,0.3936507936507937,0.04513604931903286,0.010084033613445379,0.018456607513289373,0.1891891891891892,0.038505824441977816,0.01764705882352941,0.0,0.030228628065229947,0.007563025210084033,0.032680479265652075,0.02727507386024667,0.018019951179743636,0.03454620216910253,0.02437925165669117,0.010672764048896315,0.04824287483332422,0.004833347990502154,0.05665956644514068,0.011650690352651483,0.3913112303227509,0.014228706520863558,0.0,0.002891566265060241,0.09687745259990446,0.09663865546218488,0.08615990891956067,0.038071813788989065,0.08442830440378382,0.2,0.2378577082050831,0.0399230527598357,0.036688018596381974,0.010204907220121361,0.0058823529411764705,0.00969483774514115,0.06364290838469218,0.004201680672268908,0.0,0.03350628792542433,0.003361344537815126,0.012194606003417893,0.32938660936902076,0.06574486543530603,0.028702262528249173,0.0058823529411764705,0.014392517010321848,0.004201680672268908,0.09411764705882353,0.005405405405405406,0.004201680672268908,0.007563025210084033,0.010616480520622636,0.029230926467757,0.015066396974760357,0.038556387180389416,0.004201680672268908,0.028448322334731,0.0,0.0058823529411764705,0.011636619470583063,0.026890756302521007,0.005042016806722689,0.10698572499169476,0.010810810810810811,0.02110113520388368,0.009770896567132606,0.0,0.036096185887760944,1.0,0.06477483023433248,0.0,0.01704202487598847,0.010924369747899159,0.04044760616741973,0.04727901941163747,0.0058823529411764705,0.005405405405405406,0.03274246720557511,0.008249054612611028,0.0038835634508838273,0.017877380835369938,0.0,0.05802784228252524,0.06476075935226407,0.0630330832107281,0.05459147434533738,0.006722689075630252,0.009260827092152393,0.19026865402030296,0.0,0.03758988607814569,0.04972250414164055,0.010748822870887773,0.005405405405405406,0.019327731092436976
Comparison,0.0,0.16572287033173427,0.13595395328326756,0.0,0.12822099884924892,0.10829729264396891,0.10582121306574731,0.0,0.07661033163265306,0.07841730442176871,0.0,0.016670187311147163,0.11445046768707483,0.14198586784614445,0.12805590986394558,0.0,0.1118158455366266,0.2533591288864539,0.23315021159234087,0.060229063740062615,0.03732614607427242,0.13292986847905663,0.0,0.0,0.013605442176870748,0.006802721088435374,0.0,0.023809523809523808,0.023844135442247606,0.07530824829931973,0.08261585884353741,0.003401360544217687,0.17006802721088435,0.11091960278666618,0.0,0.06930272108843537,0.08549239970825272,0.12876667908602388,0.0,0.03912498641577814,0.0354626802039466,0.04176829915253747,0.041181444692443565,0.16666666666666666,0.09057619550110729,0.09252763605442177,0.013605442176870748,0.17006802721088435,0.04600797498316842,0.006802721088435374,0.038885453983086765,0.0970466062658321,0.1306199140880784,0.06959502551020408,0.0,0.05782312925170068,0.03183005029216526,0.2218899782449918,0.12290192741424961,0.02716278495517689,0.07870960884353741,0.04421768707482993,0.0,0.0,0.26688660194770547,0.11591004603910061,0.01020408163265306,0.0,0.10500522342629424,0.10877130107044784,0.0,0.0,0.0,0.0,0.0,0.0,0.08892983982514453,0.041809019666094994,0.12948762341274092,0.12613331940412298,0.0,0.11619168500432497,0.36562037138422515,0.12387244946770258,0.15212280567911365,0.017006802721088437,0.04155755883977563,0.036672222533024934,0.08442283163265306,0.12507562198285718,0.12283703439022785,0.18927875304097994,0.0,0.08576503688273036,0.08551232993197279,0.0,0.09911929604669466,0.1047837282003871,0.08862138605442177,0.4908854166666667,0.0,0.07320897108843537,0.0,0.0,0.27363116411564503,0.003401360544217687,0.09093324829931972,0.01020408163265306,0.20964062770173666,0.07594493133296422,0.0,0.0,0.07841769824998372,0.11683730234386629,0.0,0.1484809057733735,0.023602159457222726,0.0,0.1314037767403806,0.060826673045624335,0.0948796202160637,0.0,0.0,0.08951420250489835,0.02040816326530612,0.0,0.1330057414828574,0.013605442176870748,0.07350127551020408,0.013605442176870748,0.046726524053236,0.07060480442176871,0.0,0.23646027233190434,0.05859375,0.03741496598639456,0.034013605442176874,0.01020408163265306,0.0,0.15122288085568505,0.0,0.12072352964669188,0.04205925871624763,0.19940814466160248,0.0,0.0017271157167530226,0.003401360544217687,0.0,0.1282551083099366,0.08753188775510205,0.12462902910094242,0.12585034013605442,0.16504742966283834,0.08610213534321944,0.12554877566891504,0.09853316326530613,0.14436043855660088,0.12342398560828055,0.04421768707482993,0.04327248295220348,0.02489685636992296,0.003401360544217687,0.034013605442176874,0.0,0.10432610544217687,0.07740752551020408,0.12722955462078958,0.0,0.013605442176870748,0.10463708485279875,0.10176837253261563,0.0818186649659864,0.0,0.08753188775510205,0.12333498899288624,0.0,0.03633189356657684,0.013605442176870748,0.0,0.09151785714285714,0.15986394557823128,0.08963116496598639,0.11243365557796346,0.0,0.04637798952668614,0.0,0.0,0.18574679139072206,0.0,0.0,0.14965986394557823,0.17458206895367837,0.12044508327763125,0.13737788142410914,0.0,0.12879069988182038,0.04502232313664666,0.0,0.11360334871228256,0.0,0.0,0.33675640632498194,0.04754464788089354,0.11690954364445764,0.14877936723630505,0.037842217896705894,0.02040816326530612,1.0,0.1326530612244898,0.33203125,0.01020408163265306,0.0,0.013605442176870748,0.15769321700079278,0.0,0.04135141626364129,0.1065627083513397,0.050568664965986394,0.0,0.08929784563886999,0.09498644149974954,0.13200470845270013,0.006802721088435374,0.08080888605442177,0.13497819946721779,0.0,0.01020408163265306,0.027210884353741496,0.048010514348474996,0.1351799109937312,0.16565924452930061,0.12336801372168166,0.07704541406315811,0.0
Boolean,0.0,0.23998531879194632,0.2182256711409396,0.0,0.2472472734899329,0.2042785234899329,0.1947881711409396,0.0,0.19921875,0.21484375,0.0,0.0050335570469798654,0.26171875,0.2729131711409396,0.26171875,0.0,0.020134228187919462,0.02181208053691275,0.49161073825503354,0.01174496644295302,0.013422818791946308,0.21877621644295303,0.0,0.0,0.0,0.0,0.0,0.0,0.008389261744966443,0.1953125,0.20703125,0.0,0.5,0.20873531879194632,0.0,0.1875,0.17580746644295303,0.2455694211409396,0.0,0.016778523489932886,0.006711409395973154,0.01174496644295302,0.01174496644295302,0.0,0.19311031879194632,0.2265625,0.0,0.0,0.015100671140939598,0.0,0.016778523489932886,0.17635801174496643,0.23888422818791946,0.16796875,0.0,0.0,0.015100671140939598,0.2316222734899329,0.18975461409395972,0.013422818791946308,0.1953125,0.0,0.0,0.0,0.28130243288590606,0.19811765939597314,0.0,0.0,0.2042785234899329,0.18975461409395972,0.0,0.0,0.0,0.0,0.0,0.0,0.01174496644295302,0.01174496644295302,0.22716547818791946,0.2299444211409396,0.0,0.22491086409395972,0.21096371644295303,0.23049496644295303,0.21096371644295303,0.0,0.008389261744966443,0.013422818791946308,0.22265625,0.1869756711409396,0.18139156879194632,0.2065069211409396,0.0,0.16967281879194632,0.1953125,0.0,0.2003722734899329,0.17748531879194632,0.21484375,0.97265625,0.0,0.19921875,0.0,0.0,0.18026426174496643,0.0,0.2421875,0.0,0.28185297818791943,0.1266778523489933,0.0,0.0,0.1557256711409396,0.21264156879194632,0.0,0.24223993288590603,0.01174496644295302,0.0,0.12224727348993289,0.013422818791946308,0.19701656879194632,0.0,0.0,0.018456375838926176,0.0,0.0,0.1908819211409396,0.0,0.1796875,0.0,0.018456375838926176,0.19140625,0.0,0.2377569211409396,0.17578125,0.0,0.0,0.0,0.0,0.22268246644295303,0.0,0.21319211409395972,0.016778523489932886,0.18584836409395972,0.0,0.0,0.0,0.0,0.22045406879194632,0.2421875,0.24611996644295303,0.0,0.21096371644295303,0.13842281879194632,0.24108640939597314,0.234375,0.2182518875838926,0.23330012583892618,0.0,0.060271602348993286,0.010067114093959731,0.0,0.0,0.0,0.2109375,0.19140625,0.21654781879194632,0.0,0.0,0.19533871644295303,0.19143246644295303,0.21484375,0.0,0.2421875,0.22158137583892618,0.0,0.026845637583892617,0.0,0.0,0.203125,0.0,0.23828125,0.2182256711409396,0.0,0.07980285234899329,0.0,0.0,0.48825503355704697,0.0,0.0,0.0,0.21486996644295303,0.23662961409395972,0.22268246644295303,0.0,0.24389156879194632,0.013422818791946308,0.0,0.19811765939597314,0.0,0.0,0.2416631711409396,0.010067114093959731,0.2221319211409396,0.3142040687919463,0.02181208053691275,0.0,1.0,0.0,0.49609375,0.0,0.0,0.0,0.26232172818791943,0.0,0.018456375838926176,0.23607906879194632,0.12109375,0.0,0.18194211409395972,0.010067114093959731,0.2377569211409396,0.0,0.19140625,0.2159972734899329,0.0,0.0,0.0,0.01174496644295302,0.12222105704697986,0.21654781879194632,0.22045406879194632,0.013422818791946308,0.0
String Handling,0.0,0.18838523880550043,0.11365819378625296,0.0,0.11049488799960515,0.09397383515889868,0.1020820248444994,0.0,0.1136652050167851,0.10434589944894783,0.0,0.0,0.17410759632846165,0.11964204856817408,0.3213177003678432,0.0,0.036036036036036036,0.009009009009009009,0.0,0.009009009009009009,0.0,0.11111637420511539,0.0,0.0,0.09739308549313952,0.18081160389865492,0.0,0.08082702197907544,0.0045045045045045045,0.09816715001672115,0.14555889384180062,0.02222074653447695,0.3337639177821597,0.09321102038629474,0.0,0.15914511521189537,0.07289117721444395,0.13506134390216665,0.0,0.0,0.0045045045045045045,0.0045045045045045045,0.0,0.23067081730523822,0.189732414389684,0.19169182203770896,0.07975607237287953,0.17809940192768692,0.0,0.15723858454338246,0.0,0.09998562523482395,0.1471261109636771,0.10752918188601028,0.0,0.1452163115969541,0.009009009009009009,0.20341615990142117,0.09030746047649559,0.0,0.1140146471632622,0.1473619044482268,0.0,0.0,0.2591178147544947,0.10966590806470332,0.044640722879601226,0.0,0.09630524986640794,0.132103802341433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045045045045,0.1314281950023816,0.12841184949728418,0.0,0.10718555783165434,0.0952128393845006,0.11799833700959057,0.09942417658250817,0.2478983875481231,0.0,0.0,0.11038159892287756,0.08756207049260652,0.09671751217965859,0.10537058698709147,0.0,0.08507621353879692,0.1252858987443245,0.0,0.08511608655817726,0.09857250281234932,0.1367002296253065,0.32421875,0.0,0.1034636923096503,0.0,0.0,0.09561314677263615,0.07393649434379612,0.13668823906530336,0.07109865108935426,0.2272721233799443,0.07544787521903493,0.0,0.0,0.06971149831974519,0.18659159422494373,0.0,0.195845482351742,0.0,0.0,0.18625864840920645,0.0,0.08131291262547584,0.0,0.0,0.018018018018018018,0.14238759410763382,0.0,0.09543212802686503,0.24033827549135914,0.13540168440560021,0.06026991083412808,0.009009009009009009,0.09871800801821916,0.0,0.2658670195348733,0.08720110957385328,0.09886407895604223,0.09129847074392723,0.05469962432536399,0.0,0.14835804730167504,0.0,0.08640616652518013,0.15765765765765766,0.21544384179688625,0.0,0.002857142857142857,0.047639502979528354,0.0,0.13569993170096858,0.1216896874005457,0.12144094571101083,0.1813055086103065,0.10739456195480566,0.07355383398632516,0.1481233140617838,0.11684666754310553,0.15713283448259524,0.11261600896734564,0.5369770456771223,0.029147609075509548,0.0,0.03247766576510122,0.19474481594209725,0.0,0.1989831723989536,0.11865784652483781,0.21062227647894352,0.0,0.24991543710967812,0.10491130497093153,0.12842836583712103,0.0988941828875161,0.0,0.10894425254271967,0.14390135322573885,0.0,0.0,0.054860682114724356,0.0,0.12834669547903874,0.44387659624289144,0.31108521949540807,0.11051444046221646,0.0,0.05222110511164276,0.0,0.0,0.0045045045045045045,0.0,0.0,0.2118402643794304,0.1843123366823145,0.11596732060821867,0.11718872100966826,0.0,0.12013369348222382,0.0,0.0,0.10574416418466955,0.0,0.0,0.186311814199317,0.009009009009009009,0.1214366327779463,0.1318041910168282,0.0,0.06286927055272595,1.0,0.2218701816578621,0.16536458333333334,0.04059624521978631,0.0,0.08064511398305386,0.17250930189065028,0.0,0.0045045045045045045,0.11769461552845546,0.07934763904792415,0.006093445732879381,0.08236955605828648,0.0,0.15658889067761458,0.07600811578675065,0.1466697887300285,0.1534357599336395,0.0,0.03125477087611339,0.19814904841827966,0.0,0.1427683574460738,0.16247708678470046,0.10096096633798472,0.0045045045045045045,0.0
Vectors,0.018907563025210083,0.08031733063770928,0.07813645734312254,0.008403361344537815,0.04746298982774885,0.054605846970606,0.05228661036207658,0.0,0.0,0.0,0.01050420168067227,0.025005280966720746,0.0,0.05710839823215419,0.0,0.014705882352941176,0.1677237683049399,0.3800386933296809,0.3497253173885113,0.09034359561009392,0.055989219111408625,0.07821874567011793,0.015756302521008403,0.007352941176470588,0.0,0.0,0.18277310924369747,0.0,0.03576620316337141,0.0,0.0,0.0,0.0,0.05074705182195763,0.018907563025210083,0.0,0.046357409586388676,0.06493117523027739,0.008403361344537815,0.058687479623667216,0.053194020305919895,0.06265244872880621,0.06177216703866535,0.0,0.05627982831283568,0.0,0.0,0.0,0.06901196247475264,0.0,0.05832818097463015,0.04879077919096554,0.06096536071655243,0.0,0.0063025210084033615,0.0,0.047745075438247894,0.14880317378865715,0.06509582138933653,0.04074417743276534,0.0,0.0,0.008403361344537815,0.008403361344537815,0.23308603808287662,0.07958323796481442,0.0,0.037815126050420166,0.057257048296206654,0.05153039521886833,0.011554621848739496,0.009453781512605041,0.015756302521008403,0.0063025210084033615,0.01365546218487395,0.01050420168067227,0.1333947597377168,0.0627135294991425,0.08485491653888136,0.045984512057966206,0.09138655462184873,0.0488895501484458,0.20236741922404655,0.05900260851102895,0.12442835627492325,0.0,0.06233633825966345,0.0550083337995374,0.0,0.10643820057562679,0.08843198495013849,0.17663627980731947,0.009453781512605041,0.04547571793629069,0.0,0.01050420168067227,0.04958433132209307,0.057309747322693144,0.0,0.25,0.0063025210084033615,0.0,0.011554621848739496,0.01680672268907563,0.07830039994067388,0.0,0.0,0.0,0.13486315927259457,0.05171751704746555,0.23844537815126052,0.01365546218487395,0.05102589480824942,0.05774978249169031,0.008403361344537815,0.07298720981917675,0.03540323918583409,0.01995798319327731,0.13212157157030502,0.0912400095684365,0.04922721853653079,0.01680672268907563,0.01050420168067227,0.13427130375734753,0.0,0.007352941176470588,0.10114488606672463,0.0,0.0,0.0,0.070089786079854,0.0,0.005252100840336135,0.19979667072424961,0.0,0.0,0.0,0.0,0.25,0.14098378126181943,0.012605042016806723,0.06136397653872022,0.06308888807437145,0.05022973410935411,0.022058823529411766,0.0,0.0,0.009453781512605041,0.05436878220425139,0.0,0.04926857405217499,0.0,0.14194226324616244,0.05644912138217609,0.049432163450501665,0.0,0.07286497593649427,0.05220389933078819,0.0,0.04611605110897747,0.037345284554884436,0.0,0.0,0.1207983193277311,0.0,0.0,0.10758915486035608,0.25,0.0,0.07417790398132974,0.03600326792972601,0.0,0.007352941176470588,0.0,0.07392244590434718,0.005252100840336135,0.054497840349865254,0.0,0.004201680672268907,0.0,0.0,0.0,0.058889885474938626,0.007352941176470588,0.029359207526474057,0.005252100840336135,0.11764705882352941,0.2786201870860831,0.005252100840336135,0.009453781512605041,0.0,0.047827786469536296,0.044387538076011195,0.06948588632919847,0.005252100840336135,0.07492637143712763,0.06753348470496999,0.007352941176470588,0.044010346836532134,0.03361344537815126,0.0063025210084033615,0.39131532043765616,0.07131697182134031,0.0740047342313426,0.04824633322465956,0.056763326845058845,0.0,1.0,0.0,0.0,0.0,0.01365546218487395,0.0,0.07455044263664441,0.007352941176470588,0.06202712439546194,0.04592526395188003,0.0,0.0,0.05131058898651624,0.1424796622496243,0.06619146807981156,0.0,0.0,0.12497195115876011,0.008403361344537815,0.0,0.0,0.07201577152271249,0.063680187549072,0.10214472356671186,0.050606925348833175,0.11556812109473716,0.02415966386554622
